trial,seconds,ms,parse_ok,wire_cmd,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.8428579999963404,842.8579999963404,1,SET 1,202,7,839.6265,315.2366,68.1174,372.275,
2,0.8125082999977167,812.5082999977167,1,SET 1,202,7,809.4556,329.5738,59.5433,336.578,
3,0.8086208000022452,808.6208000022452,1,SET 1,202,7,806.0558,324.1671,57.8002,341.0303,
4,0.8452726999967126,845.2726999967126,1,SET 1,202,7,842.1975,321.3073,67.1435,369.8221,
5,0.8891490000023623,889.1490000023623,1,SET 1,202,7,886.2914,350.7899,64.6865,386.8029,
6,0.8772910999978194,877.2910999978194,1,SET 1,202,7,874.6498,347.2899,65.0646,380.9947,
7,0.8588435999990907,858.8435999990907,1,SET 1,202,7,855.2698,329.3547,62.6372,382.5478,
8,0.7848825999972178,784.8825999972178,1,SET 1,202,7,781.4709,258.6092,63.8332,374.5999,
9,0.7701959000041825,770.1959000041825,1,SET 1,202,7,767.2392,293.567,57.0388,334.6652,
10,0.8015440000017406,801.5440000017406,1,SET 1,202,7,798.3719,314.1456,55.7319,345.8116,
11,0.8722892000005231,872.2892000005231,1,SET 1,202,7,869.5862,342.5942,63.8631,380.4643,
12,0.865026500003296,865.026500003296,1,SET 1,202,7,861.5272,349.0245,62.5363,364.0416,
13,0.8174287000001641,817.4287000001641,1,SET 1,202,7,814.7877,340.3977,55.5988,335.7974,
14,0.8237674000047264,823.7674000047264,1,SET 1,202,7,821.699,340.9819,57.055,341.0018,
15,0.8233095000032336,823.3095000032336,1,SET 1,202,7,820.441,306.4222,64.7847,363.3364,
16,0.7974491999993916,797.4491999993916,1,SET 1,202,7,794.2159,327.0975,57.5044,326.9536,
17,0.8367253000033088,836.7253000033088,1,SET 1,202,7,833.6299,360.7309,57.226,333.0012,
18,0.8759988000019803,875.9988000019803,1,SET 1,202,7,873.3783,342.4669,62.8199,385.1419,
19,0.8846472000004724,884.6472000004724,1,SET 1,202,7,881.3859,356.1077,65.2001,376.2911,
20,0.8357099999993807,835.7099999993807,1,SET 1,202,7,832.5761,360.9224,56.111,332.2833,
21,0.7913845000002766,791.3845000002766,1,SET 1,202,7,788.5579,312.3343,59.0373,335.1929,
22,0.852475499996217,852.475499996217,1,SET 1,202,7,849.5648,328.009,63.5391,373.2041,
23,0.8555181999981869,855.5181999981869,1,SET 1,202,7,851.8616,343.8717,65.4739,359.5596,
24,0.8367656999980682,836.7656999980682,1,SET 1,202,7,833.3104,350.7847,60.0659,338.9818,
25,0.8420666000019992,842.0666000019992,1,SET 1,202,7,838.2225,352.309,55.6154,347.446,
26,0.8572838000036427,857.2838000036427,1,SET 1,202,7,854.2969,323.1347,64.6187,381.0541,
27,0.8486954999971204,848.6954999971204,1,SET 1,202,7,845.8821,319.6757,64.2904,381.284,
28,0.786855900005321,786.855900005321,1,SET 1,202,7,784.3306,310.6551,58.7702,334.4035,
29,0.8098933000001125,809.8933000001125,1,SET 1,202,7,807.8367,333.1071,55.4952,336.1297,
30,0.8728756999989855,872.8756999989855,1,SET 1,202,7,869.9833,340.0204,64.3884,380.3701,
31,0.8824676000003819,882.4676000003819,1,SET 1,202,7,879.474,353.6163,64.4861,376.7701,
32,0.8207777999996324,820.7777999996324,1,SET 1,202,7,817.6131,340.9401,57.705,336.4261,
33,0.8219764000023133,821.9764000023133,1,SET 1,202,7,818.5075,342.2305,58.0472,337.183,
34,0.8243690000017523,824.3690000017523,1,SET 1,202,7,820.7125,296.174,62.8859,377.3282,
35,0.8756709999943268,875.6709999943268,1,SET 1,202,7,873.1302,357.6774,66.2746,366.9344,
36,0.8185591000001295,818.5591000001295,1,SET 1,202,7,815.2753,335.5784,56.9183,341.0045,
37,0.8086401000036858,808.6401000036858,1,SET 1,202,7,805.492,331.5708,57.4102,332.6064,
38,0.8763883999999962,876.3883999999962,1,SET 1,202,7,874.6003,348.8314,64.8676,378.0446,
39,0.8004081000035512,800.4081000035512,1,SET 1,202,7,798.1308,299.4765,62.3126,355.5002,
40,0.8005829999965499,800.5829999965499,1,SET 1,202,7,797.5496,312.2764,57.6281,340.8784,
41,0.8212364000064554,821.2364000064554,1,SET 1,202,7,817.8719,340.7617,60.6269,331.8865,
42,0.8669589999990421,866.9589999990421,1,SET 1,202,7,863.9113,345.3888,63.1526,373.1259,
43,0.8218749000006937,821.8749000006937,1,SET 1,202,7,819.2606,343.2701,57.5735,336.7629,
44,0.8003198000005796,800.3198000005796,1,SET 1,202,7,798.3204,322.4048,56.4428,336.9829,
45,0.8103073000020231,810.3073000020231,1,SET 1,202,7,807.0507,280.8686,64.0203,377.6784,
46,0.8383639000021503,838.3639000021503,1,SET 1,202,7,835.2924,307.1401,64.8895,382.4066,
47,0.8629760000039823,862.9760000039823,1,SET 1,202,7,859.6368,355.3723,64.6317,355.6118,
48,0.8390942999976687,839.0942999976687,1,SET 1,202,7,835.6928,352.8034,57.4574,341.1647,
49,0.8330038000058266,833.0038000058266,1,SET 1,202,7,830.0728,349.9411,57.3143,338.9318,
50,0.8675289000020712,867.5289000020712,1,SET 1,202,7,864.387,335.5359,63.8578,382.437,
51,0.8421517000024323,842.1517000024323,1,SET 1,202,7,839.4415,311.4772,64.3781,380.7462,
52,0.7927569000021322,792.7569000021322,1,SET 1,202,7,789.3246,305.847,61.043,339.7124,
53,0.8288642999978038,828.8642999978038,1,SET 1,202,7,826.0334,349.7881,57.1324,338.3221,
54,0.8620511999979499,862.0511999979499,1,SET 1,202,7,858.3168,328.6513,64.9811,378.7056,
55,0.9014615999985836,901.4615999985836,1,SET 1,202,7,898.6125,357.2942,63.6045,393.5761,
56,0.8388831999982358,838.8831999982358,1,SET 1,202,7,837.3065,362.5714,57.5399,332.103,
57,0.7983482999989064,798.3482999989064,1,SET 1,202,7,795.4013,312.8739,59.9885,342.7823,
58,0.8470875000057276,847.0875000057276,1,SET 1,202,7,844.1094,316.2424,66.1605,378.2717,
59,0.8640090999979293,864.0090999979293,1,SET 1,202,7,860.8563,342.1144,64.8401,371.1185,
60,0.8286737000016728,828.6737000016728,1,SET 1,202,7,826.2296,348.1092,56.8625,339.1139,
61,0.8281182999999146,828.1182999999146,1,SET 1,202,7,825.405,347.4937,56.0679,339.1081,
62,0.8822324000066146,882.2324000066146,1,SET 1,202,7,878.8655,347.7249,64.5572,380.4304,
63,0.8499198999998043,849.9198999998043,1,SET 1,202,7,846.7606,327.5531,64.3508,369.301,
64,0.7883478999938234,788.3478999938234,1,SET 1,202,7,785.5406,303.4522,55.7593,342.8538,
65,0.8113617999988492,811.3617999988492,1,SET 1,202,7,808.2183,331.2393,58.231,338.4928,
66,0.8870719999977155,887.0719999977155,1,SET 1,202,7,884.6664,348.1859,66.4126,385.4018,
67,0.8614762000070186,861.4762000070186,1,SET 1,202,7,859.1154,343.6194,64.7697,368.4318,
68,0.8323590999934822,832.3590999934822,1,SET 1,202,7,829.0582,351.2812,57.2657,338.4424,
69,0.8278625999955693,827.8625999955693,1,SET 1,202,7,825.0906,334.5484,57.1165,353.597,
