trial,seconds,ms,parse_ok,wire_cmd,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.7983208999999079,798.3208999999079,1,SET 1,202,7,795.8247,318.7171,56.1382,336.1238,
2,0.7570441000000301,757.0441000000301,1,SET 1,202,7,753.7831,285.7092,55.118,328.0409,
3,0.7803516000001309,780.3516000001309,1,SET 1,202,7,777.2501,313.9832,56.6627,323.0922,
4,0.8096734000000652,809.6734000000652,1,SET 1,202,7,806.6313,337.8052,55.1029,328.3341,
5,0.7909912000000077,790.9912000000077,1,SET 1,202,7,788.2981,326.195,54.7954,322.9622,
6,0.7963245999999344,796.3245999999344,1,SET 1,202,7,793.1195,334.9239,56.4077,317.9056,
7,0.7920313000001897,792.0313000001897,1,SET 1,202,7,789.1289,327.3448,54.4357,320.1372,
8,0.8241402999999536,824.1402999999536,1,SET 1,202,7,821.4234,348.8368,58.9284,329.4705,
9,0.7890942999999879,789.0942999999879,1,SET 1,202,7,786.3222,318.2117,56.623,324.6064,
10,0.809963499999867,809.963499999867,1,SET 1,202,7,806.8591,343.2369,56.059,321.518,
11,0.7802529000000504,780.2529000000504,1,SET 1,202,7,777.2255,309.6128,56.0641,325.6028,
12,0.7746948999999859,774.6948999999859,1,SET 1,202,7,771.3186,302.9831,57.1907,323.8938,
13,0.7846264999998311,784.6264999998311,1,SET 1,202,7,782.6453,313.5634,52.7134,329.5579,
14,0.7805115999999543,780.5115999999543,1,SET 1,202,7,777.4088,320.2676,54.2191,316.8179,
15,0.8157964000001812,815.7964000001812,1,SET 1,202,7,812.7187,329.7284,58.7363,336.0196,
16,0.7805238999999347,780.5238999999347,1,SET 1,202,7,777.4998,283.9586,58.6185,350.6354,
17,0.787149600000248,787.149600000248,1,SET 1,202,7,783.97,314.1225,58.7555,327.9619,
18,0.8260448000000906,826.0448000000906,1,SET 1,202,7,823.3677,341.3155,58.4589,334.7876,
19,0.8093221999997695,809.3221999997695,1,SET 1,202,7,806.458,313.8237,58.2208,345.3642,
20,0.8384128999996392,838.4128999996392,1,SET 1,202,7,836.5897,334.1482,64.7891,355.2772,
21,0.8072064000002683,807.2064000002683,1,SET 1,202,7,805.1324,335.8515,55.1486,327.5503,
22,0.8013879999998608,801.3879999998608,1,SET 1,202,7,799.4654,326.4897,55.7366,329.9547,
23,0.8032917000000452,803.2917000000452,1,SET 1,202,7,800.811,323.9727,58.1497,330.3132,
24,0.7824651000000813,782.4651000000813,1,SET 1,202,7,779.3169,326.1117,56.474,312.4673,
25,0.8135431999999128,813.5431999999128,1,SET 1,202,7,811.0422,339.7089,56.1067,330.067,
26,0.7486757000001489,748.6757000001489,1,SET 1,202,7,747.1399,284.0384,55.6989,324.498,
27,0.7747107999998661,774.7107999998661,1,SET 1,202,7,771.6222,310.152,55.0473,325.9195,
28,0.7910127999998622,791.0127999998622,1,SET 1,202,7,787.038,314.2744,56.2631,333.1467,
29,0.7939434999998412,793.9434999998412,1,SET 1,202,7,789.7888,316.4474,57.0866,332.4654,
30,0.7834046000002672,783.4046000002672,1,SET 1,202,7,781.4572,308.8135,58.8636,330.9967,
31,0.7460046000001057,746.0046000001057,1,SET 1,202,7,743.8969,272.4023,57.1872,331.3387,
32,0.7889870999997584,788.9870999997584,1,SET 1,202,7,786.0822,314.6114,59.4599,326.2483,
33,0.7754402000000482,775.4402000000482,1,SET 1,202,7,772.3817,316.4488,53.3138,319.0009,
34,0.81042989999969,810.42989999969,1,SET 1,202,7,806.2825,338.3316,53.5421,328.5136,
35,0.7657491999998456,765.7491999998456,1,SET 1,202,7,763.0492,296.3597,57.5236,325.5883,
36,0.7751594000001205,775.1594000001205,1,SET 1,202,7,772.3093,314.0682,56.6329,320.2196,
37,0.820821899999828,820.821899999828,1,SET 1,202,7,817.9134,354.5602,55.545,323.717,
38,0.7927875999998832,792.7875999998832,1,SET 1,202,7,790.815,321.317,55.239,331.1901,
39,0.7885833000000275,788.5833000000275,1,SET 1,202,7,785.8141,320.2163,55.2677,328.4688,
40,0.7804817000001094,780.4817000001094,1,SET 1,202,7,777.2147,315.393,57.2998,321.0903,
41,0.8032680999999684,803.2680999999684,1,SET 1,202,7,800.3457,329.4749,56.129,331.9855,
42,0.7892263000003368,789.2263000003368,1,SET 1,202,7,786.4151,315.4774,60.2705,323.7416,
43,0.7926463000003423,792.6463000003423,1,SET 1,202,7,789.3979,321.5318,56.1572,326.3766,
44,0.7770614000000933,777.0614000000933,1,SET 1,202,7,774.0229,305.8006,54.4326,327.6816,
45,0.776858700000048,776.858700000048,1,SET 1,202,7,774.4321,294.3655,57.3443,341.3411,
46,0.7790412000003926,779.0412000003926,1,SET 1,202,7,775.7144,306.1208,56.5048,328.1217,
47,0.8031836999998632,803.1836999998632,1,SET 1,202,7,800.0699,342.9946,55.5052,318.4385,
48,0.8207322000002932,820.7322000002932,1,SET 1,202,7,818.405,343.8342,56.4618,334.6629,
49,0.7597599000000628,759.7599000000628,1,SET 1,202,7,756.8227,275.6317,58.2207,339.0397,
50,0.7812140999999428,781.2140999999428,1,SET 1,202,7,778.0239,325.0784,56.8102,314.6457,
51,0.8103593999999248,810.3593999999248,1,SET 1,202,7,808.5186,343.3703,52.1666,325.813,
52,0.7971646999999393,797.1646999999393,1,SET 1,202,7,794.5742,312.8755,56.9165,335.5276,
53,0.7913373999999749,791.3373999999749,1,SET 1,202,7,788.7138,317.8029,58.214,334.0835,
54,0.7730004999998528,773.0004999998528,1,SET 1,202,7,769.7496,314.0681,52.2851,319.4213,
55,0.8069425999997293,806.9425999997293,1,SET 1,202,7,803.9719,335.2851,58.78,325.6691,
56,0.7955109999998058,795.5109999998058,1,SET 1,202,7,792.5519,309.294,55.1553,344.418,
57,0.7930489999998827,793.0489999998827,1,SET 1,202,7,790.0346,341.844,53.9061,308.2999,
58,0.8005584000002273,800.5584000002273,1,SET 1,202,7,797.0211,324.3748,55.4702,330.6925,
59,0.7750093999998171,775.0093999998171,1,SET 1,202,7,772.5424,294.3801,55.2433,336.3282,
