trial,seconds,ms,parse_ok,wire_cmd,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
75,0.7958332999999129,795.8332999999129,1,SET 1,202,7,793.6897,320.4046,58.0262,333.7506,
76,0.8031868999999006,803.1868999999006,1,SET 1,202,7,800.9844,326.6135,55.7248,333.7159,
77,0.8071976999999606,807.1976999999606,1,SET 1,202,7,804.1247,328.9403,53.7342,334.6426,
78,0.8499560000000201,849.9560000000201,1,SET 1,202,7,847.3305,360.5911,56.665,341.6029,
79,0.7794860999999855,779.4860999999855,1,SET 1,202,7,776.4657,289.2964,56.492,343.3975,
80,0.8012344999999641,801.2344999999641,1,SET 1,202,7,798.4338,333.36,59.414,322.8175,
81,0.82270329999983,822.70329999983,1,SET 1,202,7,819.7951,342.883,58.0249,332.6315,
82,0.8135376000000178,813.5376000000178,1,SET 1,202,7,810.5112,331.4554,58.1159,336.0895,
83,0.8024168000001737,802.4168000001737,1,SET 1,202,7,799.0849,332.5071,57.8107,323.4491,
84,0.7956325000000106,795.6325000000106,1,SET 1,202,7,792.1875,325.3772,56.8887,326.0798,
85,0.8431301000000531,843.1301000000531,1,SET 1,202,7,839.5518,325.4389,65.9027,362.9249,
86,0.8233837999998741,823.3837999998741,1,SET 1,202,7,820.9928,341.6728,59.1312,331.982,
87,0.8054641999999603,805.4641999999603,1,SET 1,202,7,802.1032,321.2971,57.7482,331.8643,
88,0.8205001999999695,820.5001999999695,1,SET 1,202,7,816.7709,333.5722,56.3697,333.1303,
89,0.7985358000000815,798.5358000000815,1,SET 1,202,7,796.2499,320.9081,58.6563,323.7792,
90,0.725731900000028,725.731900000028,1,SET 1,202,7,722.6674,241.9633,53.7089,325.2149,
91,0.8192817999999988,819.2817999999988,1,SET 1,202,7,816.8958,347.8994,55.0065,323.9721,
92,0.8041745000000446,804.1745000000446,1,SET 1,202,7,801.2551,341.0578,55.7589,312.9105,
93,0.8505648000000292,850.5648000000292,1,SET 1,202,7,846.9697,360.8117,55.3929,340.6225,
94,0.7779346999998324,777.9346999998324,1,SET 1,202,7,775.5522,289.382,54.7358,336.9745,
95,0.7576652999998714,757.6652999998714,1,SET 1,202,7,754.8262,291.2652,57.0806,309.2451,
96,0.8154799999999796,815.4799999999796,1,SET 1,202,7,812.2405,344.5059,56.6258,322.9367,
97,0.7914777000000868,791.4777000000868,1,SET 1,202,7,789.3839,315.9991,55.3109,324.0235,
98,0.8064990999998827,806.4990999998827,1,SET 1,202,7,803.8797,334.8706,56.8864,325.6577,
99,0.7592718000000787,759.2718000000787,1,SET 1,202,7,756.3483,302.8484,53.1783,307.486,
100,0.8027160999999978,802.7160999999978,1,SET 1,202,7,799.9326,331.4366,54.8208,318.1024,
