trial,seconds,ms,parse_ok,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.8853210999986914,885.3210999986914,1,203,10,882.9473,270.2708,63.1313,524.5229,
2,0.8778826000016124,877.8826000016124,1,203,10,874.48,281.4811,61.5471,511.7584,
3,0.8684107000008225,868.4107000008225,1,203,10,864.7919,274.6292,59.373,511.2251,
4,0.8657665999999153,865.7665999999153,1,203,10,862.5923,268.0546,60.2128,510.2864,
5,0.8809150000015507,880.9150000015507,1,203,10,877.5775,274.3705,58.9933,526.1336,
6,0.8813537000023643,881.3537000023643,1,203,10,878.6214,281.0459,61.9063,513.8365,
7,0.8815591999991739,881.5591999991739,1,203,10,877.8986,274.6839,60.357,521.3194,
8,0.8810668000005535,881.0668000005535,1,203,10,877.532,276.3755,55.1847,527.5741,
9,0.8875623999992968,887.5623999992968,1,203,10,885.3905,278.4088,62.1273,522.9915,
10,0.8822914000011224,882.2914000011224,1,203,10,879.3047,267.9065,58.621,528.1821,
11,0.8979870999974082,897.9870999974082,1,203,10,895.2526,265.7239,64.3787,540.6338,
12,0.7738086999997904,773.8086999997904,1,203,10,769.1398,146.0774,65.5861,542.6644,
13,0.8592353000021831,859.2353000021831,1,203,10,855.6094,262.353,56.0269,511.3982,
14,0.8553419999989273,855.3419999989273,1,203,10,852.5437,268.2115,59.1696,499.563,
15,0.8807673999981489,880.7673999981489,1,203,10,876.4326,275.4554,59.531,511.077,
16,0.8866529999977502,886.6529999977502,1,203,10,883.3826,286.4937,64.624,507.1436,
17,0.8684481999989657,868.4481999989657,1,203,10,865.2952,270.6854,62.3984,511.2329,
18,0.8766432999982499,876.6432999982499,1,203,10,872.7601,274.3221,58.5672,522.9021,
19,0.8707782999990741,870.7782999990741,1,203,10,867.2745,278.7149,58.9282,513.5215,
20,0.8758965000015451,875.8965000015451,1,203,10,872.6601,277.3737,59.4837,516.4482,
21,0.8795540999999503,879.5540999999503,1,203,10,875.6225,261.6196,57.8548,534.6868,
22,0.8564992999999959,856.4992999999959,1,203,10,852.8452,261.9635,61.8594,514.5833,
23,0.860789799997292,860.789799997292,1,203,10,857.7725,270.548,57.1526,498.2845,
24,0.8093900000021677,809.3900000021677,1,203,10,806.3783,220.5382,60.4329,500.2298,
25,0.8308638999988034,830.8638999988034,1,203,10,827.3843,249.5193,55.7656,496.062,
26,0.8612794000000576,861.2794000000576,1,203,10,857.1747,276.7406,61.5596,497.004,
27,0.8841659999998228,884.1659999998228,1,203,10,879.9131,282.1504,60.6528,517.1413,
28,0.8610088999994332,861.0088999994332,1,203,10,857.5794,264.7679,57.6879,510.3519,
29,0.876958700002433,876.958700002433,1,203,10,872.892,290.5807,58.3373,503.8758,
30,0.8681506000029913,868.1506000029913,1,203,10,865.3632,282.6696,57.4402,498.3281,
31,0.8628485999979603,862.8485999979603,1,203,10,860.2997,255.2165,59.9703,522.1827,
32,0.864704100000381,864.704100000381,1,203,10,861.2744,263.9287,64.0072,519.762,
33,0.8743183999977191,874.3183999977191,1,203,10,871.0626,285.9802,60.4771,506.3788,
34,0.8605331999970076,860.5331999970076,1,203,10,856.3384,264.008,60.1113,515.8314,
35,0.8744055999995908,874.4055999995908,1,203,10,870.6984,274.9914,62.0565,517.0988,
36,0.8741025000017544,874.1025000017544,1,203,10,870.7844,278.7213,58.8744,516.0889,
37,0.8913136999981361,891.3136999981361,1,203,10,888.4803,278.537,61.585,529.4831,
38,0.8671713000003365,867.1713000003365,1,203,10,864.0091,257.8402,60.3265,525.6259,
39,0.8784035999997286,878.4035999997286,1,203,10,875.2228,274.9637,58.6157,519.6251,
40,0.897602499997447,897.602499997447,1,203,10,894.141,278.7646,60.0042,538.0387,
41,0.881434500002797,881.434500002797,1,203,10,877.8706,258.5887,59.5625,539.8587,
42,0.8697597999998834,869.7597999998834,1,203,10,866.0797,245.6358,65.5257,537.0726,
43,0.8869315000010829,886.9315000010829,1,203,10,883.9884,280.4233,61.5079,524.3619,
44,0.8897251000016695,889.7251000016695,1,203,10,886.9552,277.7468,58.6084,532.4423,
