trial,seconds,ms
1,0.5698464999995849,569.8464999995849
2,0.5264327000004414,526.4327000004414
3,0.5512689000006503,551.2689000006503
4,0.5083918999998787,508.39189999987866
5,0.557275799999843,557.275799999843
6,0.5392619000003833,539.2619000003833
7,0.5560613000006924,556.0613000006924
8,0.5496607000004587,549.6607000004587
9,0.5566191000007166,556.6191000007166
10,0.5472143000006326,547.2143000006326
11,0.543825900000229,543.825900000229
12,0.5302641999996922,530.2641999996922
13,0.5457110999996075,545.7110999996075
14,0.5581066000004284,558.1066000004284
15,0.5027058000005127,502.7058000005127
16,0.55090730000029,550.90730000029
17,0.48943210000015824,489.43210000015824
18,0.5286083999999391,528.6083999999391
19,0.5065261999998256,506.5261999998256
20,0.547327000000223,547.327000000223
21,0.5269628999994893,526.9628999994893
22,0.5498607999998057,549.8607999998057
23,0.558552200000122,558.552200000122
24,0.5465324000006149,546.5324000006149
25,0.5373203999997713,537.3203999997713
26,0.5651066999998875,565.1066999998875
27,0.5484847999996418,548.4847999996418
28,0.5245441000006394,524.5441000006394
29,0.5554691000006642,555.4691000006642
30,0.5196071000000302,519.6071000000302
31,0.5468070999995689,546.8070999995689
32,0.5366927999994004,536.6927999994004
33,0.5404081999995469,540.4081999995469
34,0.5240114000007452,524.0114000007452
35,0.5349942000002557,534.9942000002557
36,0.5251424000007319,525.1424000007319
37,0.5212215999999898,521.2215999999898
38,0.5510573000001386,551.0573000001386
39,0.5684211999996478,568.4211999996478
40,0.5631624000006923,563.1624000006923
41,0.5531409999994139,553.1409999994139
42,0.5199838999997155,519.9838999997155
43,0.5343999000006079,534.3999000006079
44,0.5697215999998662,569.7215999998662
45,0.5373824000007517,537.3824000007517
46,0.5592556999999942,559.2556999999942
47,0.5405446999993728,540.5446999993728
48,0.5717144000000189,571.7144000000189
49,0.5663403999997172,566.3403999997172
50,0.5461985000001732,546.1985000001732
51,0.5614699999996446,561.4699999996446
52,0.5480563999999504,548.0563999999504
53,0.5675800999997591,567.5800999997591
54,0.5554910000000746,555.4910000000746
55,0.5680523999999423,568.0523999999423
56,0.5124725000005128,512.4725000005128
57,0.552191099999618,552.191099999618
58,0.5613984999999957,561.3984999999957
59,0.554206200000408,554.206200000408
60,0.5581113999996887,558.1113999996887
61,0.5384692999996332,538.4692999996332
62,0.5486061999999947,548.6061999999947
63,0.5313915999995515,531.3915999995515
64,0.5572762000001603,557.2762000001603
65,0.5262340999997832,526.2340999997832
66,0.5515505000003031,551.5505000003031
67,0.528947299999345,528.947299999345
68,0.5403901999998197,540.3901999998197
69,0.4737024999994901,473.7024999994901
70,0.5482088000007934,548.2088000007934
71,0.5135080000000016,513.5080000000016
72,0.565733000000364,565.733000000364
73,0.5407556999998633,540.7556999998633
74,0.539607600000636,539.607600000636
75,0.5642195000000356,564.2195000000356
76,0.5573835999994117,557.3835999994117
77,0.5489118000004964,548.9118000004964
78,0.5203502000003937,520.3502000003937
79,0.5511768000005759,551.1768000005759
80,0.500909600000341,500.909600000341
81,0.5577488000008088,557.7488000008088
82,0.5078584000002593,507.8584000002593
83,0.5598443999997471,559.8443999997471
84,0.5380887000001167,538.0887000001167
85,0.5357036000004882,535.7036000004882
86,0.5592101000002003,559.2101000002003
87,0.5233362000008128,523.3362000008128
88,0.5509975000004488,550.9975000004488
89,0.5420231999996759,542.0231999996759
90,0.5264317999999548,526.4317999999548
91,0.5322777000001224,532.2777000001224
92,0.5505407999999079,550.5407999999079
93,0.5052376999992703,505.23769999927026
94,0.5669661000001724,566.9661000001724
95,0.505909999999858,505.909999999858
96,0.5447271000002729,544.7271000002729
97,0.4773997000002055,477.3997000002055
98,0.5551524000002246,555.1524000002246
99,0.510431200000312,510.43120000031195
100,0.5246157999999923,524.6157999999923
