trial,seconds,ms,parse_ok,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.5459083999999166,545.9083999999166,1,205,7,543.9654,117.545,57.3251,355.6485,
2,0.5461921000000984,546.1921000000984,1,205,7,542.6853,115.399,58.285,355.6575,
3,0.5435803999998825,543.5803999998825,1,205,7,541.0335,122.2958,62.0062,344.1413,
4,0.5265607999999702,526.5607999999702,1,205,7,524.7332,109.7337,57.0893,345.9694,
5,0.5440871999999217,544.0871999999217,1,205,7,540.7987,114.4357,59.1522,352.8751,
6,0.5417419999998856,541.7419999998856,1,205,7,539.2113,118.494,60.5489,344.5237,
7,0.5447034000003441,544.7034000003441,1,205,7,542.6489,114.6775,63.8634,353.0892,
8,0.556469499999821,556.469499999821,1,205,7,552.9875,121.9422,60.3809,351.1306,
9,0.5453941000000668,545.3941000000668,1,205,7,541.7681,114.0333,58.0805,356.9652,
10,0.5414647999996305,541.4647999996305,1,205,7,539.6242,118.4082,61.1233,344.7612,
