trial,seconds,ms,parse_ok,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.532017900000028,532.017900000028,1,205,7,528.5302,114.6361,57.2106,345.2268,
2,0.5619999000000462,561.9999000000462,1,205,7,559.5176,125.3036,63.9312,358.1983,
3,0.5444253000000572,544.4253000000572,1,205,7,543.0347,118.3844,60.8215,350.3425,
4,0.5394757999997637,539.4757999997637,1,205,7,536.9558,114.7896,63.5822,350.3046,
5,0.5440043999997215,544.0043999997215,1,205,7,542.584,117.6343,56.6683,354.1824,
6,0.5466520999998465,546.6520999998465,1,205,7,544.5735,119.019,61.3064,347.5563,
7,0.5408766999998988,540.8766999998988,1,205,7,538.5901,115.7619,60.6137,352.0319,
8,0.5531593000000612,553.1593000000612,1,205,7,550.0011,122.4935,59.9612,352.5781,
9,0.5532851000002665,553.2851000002665,1,205,7,551.469,120.8047,56.8498,357.6828,
10,0.5456916999996793,545.6916999996793,1,205,7,541.3856,118.6666,56.1116,355.6611,
11,0.5684142999998585,568.4142999998585,1,205,7,566.0809,132.4127,61.783,357.1505,
12,0.551861700000245,551.861700000245,1,205,7,550.6127,112.403,64.2128,360.1597,
13,0.5516321999998581,551.6321999998581,1,205,7,548.6414,111.0294,61.2192,363.9303,
14,0.5528070999998818,552.8070999998818,1,205,7,551.0054,121.1098,58.4444,356.1808,
15,0.5499040999998215,549.9040999998215,1,205,7,546.8889,113.2496,61.4942,361.4242,
16,0.5519484000001285,551.9484000001285,1,205,7,549.4473,114.3579,62.8048,358.9149,
17,0.5453803999998854,545.3803999998854,1,205,7,543.8319,114.0369,61.2267,354.004,
18,0.5329629000002569,532.9629000002569,1,205,7,531.369,109.0391,58.6674,345.8203,
19,0.5444305000000895,544.4305000000895,1,205,7,542.7415,113.4536,58.96,359.914,
20,0.534553699999833,534.553699999833,1,205,7,532.264,110.4564,59.9988,350.7935,
21,0.5452038000003085,545.2038000003085,1,205,7,542.4449,115.0157,61.8848,352.3145,
22,0.576256000000285,576.256000000285,1,205,7,572.3566,131.9507,64.3216,363.2682,
23,0.549983500000053,549.983500000053,1,205,7,547.7729,115.5837,67.7746,357.1389,
24,0.5385894999999437,538.5894999999437,1,205,7,536.0306,110.9338,59.2375,350.1158,
25,0.5543932000000495,554.3932000000495,1,205,7,552.2371,120.6419,60.7393,354.956,
26,0.5513249999999061,551.3249999999061,1,205,7,548.3494,118.2808,60.9756,357.4711,
27,0.5483345999996345,548.3345999996345,1,205,7,546.6965,121.0359,60.0094,352.5127,
28,0.5428018000002339,542.8018000002339,1,205,7,540.653,113.0505,58.1031,356.1765,
29,0.5537835000000086,553.7835000000086,1,205,7,551.254,117.5038,62.3427,359.5564,
30,0.5498837999998614,549.8837999998614,1,205,7,546.8451,116.0944,61.2991,355.3549,
31,0.5525173000000905,552.5173000000905,1,205,7,550.5484,122.1477,61.9331,355.3526,
32,0.567240099999708,567.240099999708,1,205,7,565.4527,117.7348,64.1935,369.811,
33,0.560183799999777,560.183799999777,1,205,7,557.7694,118.4636,62.2773,359.6519,
