trial,seconds,ms,parse_ok,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.6671284000000242,667.1284000000242,1,205,7,663.9166,255.4892,54.4537,332.6157,
2,0.6760827000000518,676.0827000000518,1,205,7,672.5499,246.9903,60.5411,344.4531,
3,0.6702258000000256,670.2258000000256,1,205,7,667.1258,272.8059,54.638,316.2019,
4,0.664444900000035,664.444900000035,1,205,7,660.6765,260.648,56.8003,326.0242,
5,0.6301144000000249,630.114400000025,1,205,7,625.8202,227.4941,56.2069,317.4742,
6,0.6851321000000326,685.1321000000326,1,205,7,681.7018,280.9385,56.149,327.6905,
7,0.6643907999999783,664.3907999999783,1,205,7,661.4748,263.1365,55.8269,321.1669,
8,0.6639466999999968,663.9466999999968,1,205,7,660.7503,258.0218,56.1052,335.4222,
9,0.6557267000000593,655.7267000000593,1,205,7,651.9243,225.2054,59.1357,350.3619,
10,0.6726853000000119,672.6853000000119,1,205,7,667.8929,265.2707,58.5582,335.1606,
11,0.6404410999999754,640.4410999999754,1,205,7,637.4431,235.6526,58.457,332.3531,
12,0.676142299999924,676.142299999924,1,205,7,673.9077,240.7104,60.7454,359.1012,
13,0.6638911999999664,663.8911999999664,1,205,7,660.2479,248.8683,53.0369,341.9406,
14,0.6591622000000825,659.1622000000825,1,205,7,656.062,247.4917,58.3046,342.958,
15,0.6884413999999879,688.4413999999879,1,205,7,683.6554,273.1787,56.6984,332.222,
16,0.6806215999999949,680.6215999999949,1,205,7,678.2967,280.0513,55.2305,326.8321,
17,0.6397997999999916,639.7997999999916,1,205,7,634.92,239.1033,55.4541,318.8609,
18,0.6676801999999498,667.6801999999498,1,205,7,664.5635,266.7179,54.9788,324.0884,
19,0.6660278000000517,666.0278000000517,1,205,7,662.9211,268.6121,53.7975,320.0657,
20,0.6648900999999796,664.8900999999796,1,205,7,660.9926,263.8138,57.5231,319.5752,
21,0.6548318000000108,654.8318000000108,1,205,7,652.1146,241.5167,53.5164,333.7967,
22,0.6862246000000596,686.2246000000596,1,205,7,682.5026,256.1925,60.7674,352.652,
23,0.6530913000000282,653.0913000000282,1,205,7,648.6794,250.4831,57.7266,323.8374,
24,0.6614640999999892,661.4640999999892,1,205,7,657.556,253.77,55.9581,334.3535,
25,0.6609406999999692,660.9406999999692,1,205,7,658.0905,237.8119,57.2847,345.8536,
26,0.6851262000000133,685.1262000000133,1,205,7,682.5959,217.7267,59.6067,391.0084,
27,0.6493130999999721,649.3130999999721,1,205,7,645.9283,221.6729,63.3162,349.503,
28,0.65474370000004,654.74370000004,1,205,7,650.8057,243.4073,57.7163,342.6822,
29,0.6904928999999811,690.4928999999811,1,205,7,686.6033,258.5976,59.3207,357.6468,
30,0.6888767000000371,688.8767000000371,1,205,7,684.7536,247.5397,60.1084,365.7868,
