trial,seconds,ms,parse_ok,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.5507228000001305,550.7228000001305,1,205,7,547.9781,115.3196,59.1147,360.0263,
2,0.5609879999997247,560.9879999997247,1,205,7,559.0753,118.6418,68.7811,362.1483,
3,0.5390818999999283,539.0818999999283,1,205,7,534.7218,109.4844,57.6335,354.3944,
4,0.5958372999998574,595.8372999998574,1,205,7,593.4167,170.1098,59.7168,349.9335,
5,0.5431616000000759,543.1616000000759,1,205,7,541.0765,122.1369,57.5377,346.175,
6,0.5549148000000059,554.9148000000059,1,205,7,552.6705,129.5567,60.3983,348.7893,
7,0.5543379999999161,554.3379999999161,1,205,7,551.8866,123.3988,64.1754,349.5504,
8,0.5420679999997446,542.0679999997446,1,205,7,540.0244,113.9876,62.59,351.6734,
9,0.5320001999998567,532.0001999998567,1,205,7,528.0913,114.5913,55.5549,344.8734,
10,0.541751899999781,541.751899999781,1,205,7,538.6278,122.1981,57.8978,343.7193,
