trial,seconds,ms,parse_ok,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.713513599999942,713.513599999942,1,203,10,711.932,121.2676,55.5134,513.0777,
2,0.7541449000000284,754.1449000000284,1,203,10,749.9046,156.2444,57.5967,510.4717,
3,0.7531305999998494,753.1305999998494,1,203,10,750.218,149.1811,61.6382,526.2118,
4,0.7876412999999047,787.6412999999047,1,203,10,785.773,178.4651,59.9533,525.8279,
5,0.7608951999998226,760.8951999998226,1,203,10,759.0921,154.4406,60.629,525.3128,
6,0.7689979000001586,768.9979000001586,1,203,10,765.4901,160.8204,57.7795,521.3125,
7,0.7543001999999888,754.3001999999888,1,203,10,751.0565,152.1013,57.7235,525.7834,
8,0.7323962000000392,732.3962000000392,1,203,10,729.06,125.3917,59.7112,522.1573,
9,0.7410636999998133,741.0636999998133,1,203,10,739.6944,134.395,58.8482,527.6849,
10,0.715800100000024,715.800100000024,1,203,10,713.9276,113.5712,59.7296,526.302,
11,0.7225263999998788,722.5263999998788,1,203,10,720.0104,115.5573,57.0288,531.1559,
12,0.7249269000001277,724.9269000001277,1,203,10,721.305,134.6011,57.0265,512.9197,
13,0.7094248999999309,709.4248999999309,1,203,10,706.9876,115.9376,58.1195,518.0511,
14,0.7161332999999104,716.1332999999104,1,203,10,714.3796,124.8262,58.4198,511.2758,
15,0.7228406000001542,722.8406000001542,1,203,10,721.2557,125.5085,57.041,512.1779,
16,0.7218525000000682,721.8525000000682,1,203,10,718.0099,125.0686,59.4572,515.5949,
17,0.730725300000131,730.725300000131,1,203,10,728.5617,125.4345,61.6308,525.1535,
18,0.7245190999999522,724.5190999999522,1,203,10,722.4365,119.2745,60.3617,520.9209,
19,0.7102403999999751,710.2403999999751,1,203,10,707.912,111.981,58.6181,515.1332,
20,0.7368400000000292,736.8400000000292,1,203,10,734.4964,135.1468,56.8771,526.6669,
21,0.7625330999999278,762.5330999999278,1,203,10,759.4538,157.0212,57.6373,524.627,
22,0.7745532999999796,774.5532999999796,1,203,10,771.1442,168.8409,58.1139,524.2762,
23,0.754040600000053,754.040600000053,1,203,10,751.6329,150.7841,58.2779,527.447,
24,0.7591773000001467,759.1773000001467,1,203,10,756.4486,165.3966,57.0724,515.599,
25,0.78321179999989,783.21179999989,1,203,10,779.533,161.6205,58.5304,539.8266,
26,0.7703194999999141,770.3194999999141,1,203,10,766.7993,163.39,59.2322,524.1162,
27,0.7805564000000231,780.5564000000231,1,203,10,777.6597,159.1376,61.589,532.1569,
28,0.7705198000001019,770.5198000001019,1,203,10,768.5402,155.7734,60.466,532.3694,
29,0.7635127000000921,763.5127000000921,1,203,10,760.4578,153.0585,56.0243,535.475,
30,0.7635383000001639,763.5383000001639,1,203,10,761.2019,155.3068,56.0852,530.9334,
31,0.7605996999998297,760.5996999998297,1,203,10,759.2903,161.5401,57.6362,515.2667,
32,0.768604200000027,768.604200000027,1,203,10,767.026,156.4353,58.6405,533.5637,
33,0.7847983999999997,784.7983999999997,1,203,10,782.9316,173.6167,57.5408,531.8412,
34,0.7746574999998757,774.6574999998757,1,203,10,771.5429,164.756,58.0983,533.1118,
35,0.7797918999999638,779.7918999999638,1,203,10,777.2982,159.9207,63.0807,534.9659,
36,0.7627083999998376,762.7083999998376,1,203,10,759.6706,153.7048,57.5574,532.9402,
37,0.7692856000001029,769.2856000001029,1,203,10,767.2865,159.0453,60.0162,528.6577,
38,0.757795200000146,757.795200000146,1,203,10,755.6599,148.7007,59.9224,525.5729,
39,0.7669241999999485,766.9241999999485,1,203,10,763.4079,168.482,58.2195,520.456,
40,0.755422899999985,755.422899999985,1,203,10,752.8208,147.1097,57.3362,532.6856,
41,0.762473,762.473,1,203,10,760.9434,163.1969,56.3621,524.6594,
42,0.744325500000059,744.325500000059,1,203,10,741.7854,145.5524,56.8603,523.9422,
43,0.7679398999998739,767.9398999998739,1,203,10,764.1947,164.9081,58.3588,521.8377,
44,0.7559555999998793,755.9555999998793,1,203,10,753.9785,155.1463,60.3662,526.2455,
45,0.7600032999998803,760.0032999998803,1,203,10,757.1491,159.8403,55.9314,523.9815,
46,0.7607297999998082,760.7297999998082,1,203,10,757.5782,160.4687,58.0653,516.0922,
47,0.7643298999998933,764.3298999998933,1,203,10,760.9594,170.5179,57.2129,518.4079,
48,0.7660232999999153,766.0232999999153,1,203,10,762.7944,165.4282,58.854,521.3281,
49,0.7550615999998627,755.0615999998627,1,203,10,752.6873,157.3974,58.5828,520.5177,
50,0.7634316999999555,763.4316999999555,1,203,10,761.0934,169.1954,58.1522,517.9801,
51,0.7758390999999847,775.8390999999847,1,203,10,772.6337,167.9741,60.6678,524.9012,
52,0.762100799999871,762.100799999871,1,203,10,758.3599,163.9069,58.4555,518.9379,
53,0.7650296000001617,765.0296000001617,1,203,10,762.0817,157.2297,58.9681,527.3597,
54,0.75795590000007,757.95590000007,1,203,10,754.9183,154.277,60.9942,519.8399,
55,0.7550658999998632,755.0658999998632,1,203,10,753.4986,157.2063,58.4412,522.8386,
56,0.7666340000000673,766.6340000000673,1,203,10,763.5588,158.6008,58.044,532.4149,
57,0.7625158999999258,762.5158999999258,1,203,10,759.7556,163.5468,57.3822,521.0396,
58,0.7703179999998611,770.3179999998611,1,203,10,768.2137,161.532,58.8451,534.8967,
59,0.7554423999999926,755.4423999999926,1,203,10,752.1047,149.9348,60.5929,521.4239,
60,0.759753400000136,759.753400000136,1,203,10,757.8621,157.7877,57.2909,524.5594,
61,0.7820068999999421,782.0068999999421,1,203,10,778.6266,169.8257,60.1168,532.5965,
62,0.7598186000000169,759.8186000000169,1,203,10,756.1902,159.3256,57.4438,523.0587,
63,0.7553278000000319,755.3278000000319,1,203,10,751.9889,153.665,57.9984,523.4749,
64,0.7629848999999922,762.9848999999922,1,203,10,759.5052,166.3752,58.8864,520.1398,
65,0.7604165000000194,760.4165000000194,1,203,10,757.6059,159.5631,57.7209,524.2164,
66,0.7568186999999398,756.8186999999398,1,203,10,753.1856,163.1176,57.4273,510.8348,
67,0.7431802999999491,743.180299999949,1,203,10,740.8931,146.6568,57.6993,513.9018,
68,0.7640286999999262,764.0286999999262,1,203,10,760.5217,162.9309,58.857,521.4934,
69,0.7805370000000948,780.5370000000948,1,203,10,776.7517,167.2925,57.6122,538.2156,
70,0.7761061999999583,776.1061999999583,1,203,10,774.1106,179.892,54.9525,521.3034,
71,0.744861400000218,744.861400000218,1,203,10,742.286,152.9272,58.287,514.9653,
72,0.7516018999999687,751.6018999999687,1,203,10,749.3605,152.7714,56.9977,519.9137,
73,0.7610065000001214,761.0065000001214,1,203,10,759.3199,163.1281,57.6761,520.7754,
74,0.7535479999999097,753.5479999999097,1,203,10,751.0454,155.5376,59.9049,521.1361,
75,0.7506187999999838,750.6187999999838,1,203,10,747.3025,141.7903,60.8645,531.0618,
76,0.7729788999999982,772.9788999999982,1,203,10,770.6203,162.6892,56.8213,538.0558,
77,0.778438099999903,778.438099999903,1,203,10,774.8695,172.416,58.2578,527.4772,
78,0.7866260000000693,786.6260000000693,1,203,10,784.4411,175.5706,59.0582,532.6728,
79,0.777160399999957,777.160399999957,1,203,10,774.7475,164.8794,58.6985,531.5641,
80,0.7820396000001892,782.0396000001892,1,203,10,779.4605,170.7313,59.4576,533.7009,
81,0.7702881000000161,770.2881000000161,1,203,10,768.2805,165.4411,59.8269,531.0579,
82,0.7640163000000939,764.0163000000939,1,203,10,761.2841,168.9612,57.7105,522.6944,
83,0.7477870000000166,747.7870000000166,1,203,10,745.0799,148.2136,58.2459,517.259,
84,0.7593402999998489,759.3402999998489,1,203,10,755.7901,162.9547,59.0822,515.8495,
85,0.7698032000000694,769.8032000000694,1,203,10,766.4104,164.1259,56.4272,525.7769,
86,0.7614399999999932,761.4399999999932,1,203,10,758.7151,160.6555,60.8184,516.9986,
87,0.7528843000000052,752.8843000000052,1,203,10,748.8305,146.9288,58.3609,522.446,
88,0.7596851000000697,759.6851000000697,1,203,10,756.0848,153.4036,59.028,526.0811,
89,0.7577000999999655,757.7000999999655,1,203,10,754.4313,159.2736,56.8358,522.1123,
90,0.7575406999999359,757.5406999999359,1,203,10,755.3613,160.1183,58.8598,518.097,
91,0.7625491999999667,762.5491999999667,1,203,10,759.9874,161.3014,58.7165,519.4741,
92,0.7560465999999906,756.0465999999906,1,203,10,753.6738,156.1156,55.7045,521.7152,
93,0.7454901999999493,745.4901999999493,1,203,10,742.9773,148.7846,57.5958,514.9783,
94,0.7644207999999253,764.4207999999253,1,203,10,761.3663,158.7498,57.2507,525.5343,
95,0.7493799999999737,749.3799999999737,1,203,10,747.3527,152.0678,58.8873,516.4058,
96,0.7563387000000148,756.3387000000148,1,203,10,753.8316,158.5615,56.4812,520.6365,
97,0.7587839000000258,758.7839000000258,1,203,10,755.073,159.893,58.0109,519.1873,
98,0.7589335999998639,758.9335999998639,1,203,10,756.5698,162.6667,58.5656,521.2943,
99,0.7492872000000261,749.2872000000261,1,203,10,746.3084,150.318,56.7823,524.6623,
100,0.7714769000001525,771.4769000001525,1,203,10,769.5211,164.2603,61.0636,526.1966,
