trial,seconds,ms,parse_ok,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.5396911000000273,539.6911000000273,1,205,7,537.9505,113.0892,60.1072,350.3164,
2,0.5534926000000269,553.4926000000269,1,205,7,550.5013,127.816,57.9814,351.3209,
3,0.544698500000095,544.698500000095,1,205,7,542.6041,123.1418,61.1837,343.5857,
4,0.5429609000000255,542.9609000000255,1,205,7,541.4096,123.5913,55.117,340.9201,
5,0.5433963000000404,543.3963000000404,1,205,7,541.7433,126.1542,57.6648,341.113,
6,0.5320656000001236,532.0656000001236,1,205,7,528.9155,109.8115,56.5226,348.1111,
7,0.5321409000000585,532.1409000000585,1,205,7,530.7439,109.8783,58.6958,349.033,
8,0.5389425999999276,538.9425999999276,1,205,7,536.7821,115.6267,59.1974,339.2463,
9,0.5434132999998837,543.4132999998837,1,205,7,540.9438,120.9139,58.9936,346.2122,
10,0.5457569000000149,545.7569000000149,1,205,7,542.8966,115.6227,58.5311,347.8593,
11,0.5454377999999451,545.4377999999451,1,205,7,543.0517,122.4106,61.4645,339.0522,
12,0.5601649999998699,560.1649999998699,1,205,7,557.675,126.08,61.7362,350.3484,
13,0.5519810000000689,551.9810000000689,1,205,7,550.0203,121.0666,58.2772,354.1545,
14,0.5586566999998013,558.6566999998013,1,205,7,554.9842,130.676,61.8238,347.0166,
15,0.5431132000001071,543.1132000001071,1,205,7,540.7774,112.4037,60.907,349.9435,
16,0.5405990000001566,540.5990000001566,1,205,7,538.2438,119.2523,57.3864,348.3625,
17,0.5469505000000936,546.9505000000936,1,205,7,543.9777,113.1786,58.6024,347.9853,
18,0.5599660000000313,559.9660000000313,1,205,7,557.9816,128.1181,60.3986,355.8085,
19,0.5528013000000556,552.8013000000556,1,205,7,550.8708,125.3689,59.3651,349.0336,
20,0.5359112999999525,535.9112999999525,1,205,7,531.8264,113.9851,54.0239,345.911,
21,0.5512965000000349,551.2965000000349,1,205,7,548.9798,120.1972,57.7117,353.3323,
22,0.5642341000000215,564.2341000000215,1,205,7,561.9874,126.2209,61.6247,362.6228,
23,0.5498876000001474,549.8876000001474,1,205,7,546.6066,121.3786,60.853,348.3692,
24,0.5514405999999781,551.4405999999781,1,205,7,549.4967,121.3139,58.8285,359.11,
25,0.5575366999999005,557.5366999999005,1,205,7,555.851,132.1778,61.1049,346.1784,
26,0.5481694000000061,548.1694000000061,1,205,7,545.672,125.606,58.5428,347.2636,
27,0.5473309999999856,547.3309999999856,1,205,7,544.8362,118.9787,58.0196,354.2092,
28,0.5436154999999872,543.6154999999872,1,205,7,542.0527,117.7732,57.0622,352.3221,
29,0.5492654000001949,549.2654000001949,1,205,7,547.8412,117.6848,59.9397,356.5196,
30,0.5365466999999171,536.5466999999171,1,205,7,534.1422,108.2279,59.172,353.1506,
31,0.5404121999999916,540.4121999999916,1,205,7,538.5362,114.2469,62.3106,340.7929,
32,0.5466636999999537,546.6636999999537,1,205,7,544.3189,108.3695,60.8892,360.022,
33,0.5368680000001405,536.8680000001405,1,205,7,534.679,114.1586,59.6264,341.9884,
34,0.5406648000000587,540.6648000000587,1,205,7,538.6857,109.2184,63.9029,349.1116,
35,0.5378944999999931,537.8944999999931,1,205,7,535.0398,105.9858,61.7943,355.7045,
36,0.5455253000000084,545.5253000000084,1,205,7,542.6522,114.9177,58.5653,354.0621,
37,0.5611530000001039,561.1530000001039,1,205,7,559.4074,125.1789,61.185,360.0216,
38,0.5525103999998464,552.5103999998464,1,205,7,549.3282,116.1965,58.6278,359.051,
39,0.5625040999998419,562.5040999998419,1,205,7,560.3901,131.0682,59.3281,361.9764,
40,0.5847657000001618,584.7657000001618,1,205,7,582.2694,153.6093,58.4858,354.8253,
41,0.5731877999999142,573.1877999999142,1,205,7,571.4529,138.6986,59.4631,357.3667,
42,0.558569499999976,558.569499999976,1,205,7,555.4325,116.3655,61.9009,356.0762,
43,0.5459376999999677,545.9376999999677,1,205,7,543.4075,118.1317,59.3785,350.4302,
44,0.5460870000001705,546.0870000001705,1,205,7,543.7812,116.8476,58.0742,348.0548,
45,0.5440107999997963,544.0107999997963,1,205,7,542.1176,116.1313,58.9525,347.3029,
46,0.5491101000000072,549.1101000000072,1,205,7,547.3608,115.8751,56.1546,357.5234,
47,0.553219800000079,553.219800000079,1,205,7,550.0159,124.9628,59.5427,343.9196,
48,0.5503926000001229,550.3926000001229,1,205,7,547.2031,124.9452,58.5713,349.5149,
49,0.5503619999999501,550.3619999999501,1,205,7,548.4418,119.5224,59.1336,348.5955,
50,0.5454087999999047,545.4087999999047,1,205,7,542.4393,119.3508,55.6072,351.879,
51,0.5593170000001919,559.3170000001919,1,205,7,557.6603,128.0007,57.3326,355.1552,
52,0.5540631999999732,554.0631999999732,1,205,7,552.3745,116.6603,65.3261,357.2855,
53,0.5609531000000061,560.9531000000061,1,205,7,556.9776,134.6232,56.0899,351.0653,
54,0.5853565000002163,585.3565000002163,1,205,7,583.2168,156.2649,58.5323,354.4489,
55,0.5779618999999911,577.9618999999911,1,205,7,573.3502,149.1631,59.3232,348.8992,
56,0.5822431999999935,582.2431999999935,1,205,7,578.733,153.0136,59.0252,352.9011,
57,0.5752506999999696,575.2506999999696,1,205,7,572.8965,145.9221,58.935,355.729,
58,0.5810910000000149,581.0910000000149,1,205,7,578.7901,155.404,57.0489,356.7318,
59,0.5773360000000594,577.3360000000594,1,205,7,575.058,157.6207,58.0222,349.0186,
60,0.5918921999998474,591.8921999998474,1,205,7,589.5334,160.8348,60.0194,356.5853,
61,0.5939373000001069,593.9373000001069,1,205,7,590.8902,163.6655,60.8345,352.478,
62,0.6016733999999815,601.6733999999815,1,205,7,599.5904,169.7242,62.8024,350.2012,
63,0.5859906000000592,585.9906000000592,1,205,7,583.8178,162.8608,59.0687,349.3897,
64,0.5906337999999778,590.6337999999778,1,205,7,588.1694,160.7025,62.3271,353.4647,
65,0.5913148999998157,591.3148999998157,1,205,7,587.3188,164.4489,56.7971,353.698,
66,0.5912442999999712,591.2442999999712,1,205,7,588.9304,159.179,61.3309,355.5643,
67,0.5895915999999488,589.5915999999488,1,205,7,586.6489,159.4291,60.2367,351.5383,
68,0.5753959999999552,575.3959999999552,1,205,7,572.9132,149.0401,58.2626,350.8875,
69,0.5844939000000977,584.4939000000977,1,205,7,581.7564,158.941,55.8916,346.3581,
70,0.5638757000001533,563.8757000001533,1,205,7,560.2237,138.9003,58.8051,347.4316,
71,0.5770225999999639,577.0225999999639,1,205,7,574.148,151.8151,55.0628,354.5204,
72,0.5813533000000461,581.3533000000461,1,205,7,578.77,165.2782,58.7249,340.4208,
73,0.5764344000001529,576.4344000001529,1,205,7,573.093,158.4718,59.6612,340.8727,
74,0.5779290000000401,577.9290000000401,1,205,7,573.1873,156.2975,58.552,345.6061,
75,0.5837016000000403,583.7016000000403,1,205,7,581.7277,161.4915,58.5934,348.9729,
76,0.5711272999999437,571.1272999999437,1,205,7,567.8524,147.476,59.2478,348.2764,
77,0.579128800000035,579.128800000035,1,205,7,575.8772,157.2767,57.8044,350.6701,
78,0.5887881000001016,588.7881000001016,1,205,7,586.7872,161.1525,60.0152,351.3171,
79,0.5689751999998407,568.9751999998407,1,205,7,566.7756,151.2679,59.5676,342.7848,
